作物,编号,难度,query,gold_sla,gold_vga
大麦,B-Q01,L1,推荐一些适合春季播种，并且能比较早收获的大麦品种。,"冬春性, 播种期, 成熟期","冬春性=""春""；播种期=""春""；当地成熟型=""极早""；当地成熟型=""特早""；当地成熟型=""早""；成熟期=""早""；冬春性 IS NOT NULL；播种期 IS NOT NULL；成熟期 IS NOT NULL"
大麦,B-Q02,L1,我想找那些籽粒特别饱满的大麦材料，千粒重起码得在45克以上。,"千粒重, 粒形","千粒重 > 45；粒形 IN ""卵圆""；粒形 IN ""圆""；粒形 IN ""椭圆"""
大麦,B-Q03,L1,有没有那种长得笔直，并且叶片颜色非常深绿的大麦品种？,"株型, 叶色","叶色=""深绿""；生长习性=""直立""；株型 IN ""紧凑"", 株型 IN ""直立"""
大麦,B-Q04,L1,帮忙找找田里那些长得比较矮的大麦材料，最好别超过70公分。,株高,株高 < 70
大麦,B-Q05,L1,我需要一种能抵抗赤霉病感染的两排型大麦。,"棱型, 赤霉病抗性","赤霉病抗性=""抗""；赤霉病抗性=""中抗""；棱型=""二棱"""
大麦,B-Q06,L1,有没有那种淀粉产出非常高的大麦资源，占比能过六成的？,总淀粉,总淀粉 > 60
大麦,B-Q07,L1,帮我挑一下单棵植物能结出10到15个穗子的大麦种质。,单株穗数,单株穗数 BETWEEN 10 AND 15
大麦,B-Q08,L1,给我推几个在极度干旱条件下依然表现最顶级的耐旱大麦品种。,抗旱级别,抗旱级别 = 1
大麦,B-Q09,L1,我需要茎秆特别粗壮的那种大麦，直径起码要达到0.65毫米。,茎秆直径,茎秆直径 > 0.65
大麦,B-Q10,L1,有没有穗子和芒都是黑色的，而且芒摸起来不扎手的大麦品种？,"穗和芒色, 芒性, 芒形","穗和芒色=""黑""；穗和芒色=""黑褐""；芒性!=""钩""；芒性!=""钩齿""；芒性!=""齿芒"""
