术语类别	用户术语	映射字段
品种类型	粳稻、籼稻、中间型	籼粳
生育期分类	早熟、中熟、晚熟类型	早中晚
生态适应性	水稻、旱稻、陆稻类型	水陆
食用质地特征	糯性明显或粘性较强	粘糯
米粒外观属性	白米、黄米、透明度高等	米色
穗部附属特征	有芒、长芒、无芒等表现	芒长
籽粒几何形态	圆形、椭圆、细长粒等	粒形状
籽粒长度指标	粒长反映米粒规格	粒长度
颖部颜色特征	颖尖颜色为白、褐、紫等	颖尖色
外壳颜色表现	颖壳为黄、褐、秆黄等色	颖壳色
农艺性状	植株高矮与抗倒伏潜力	株高
抽穗时间特性	出穗早晚影响灌浆安排	出穗期
加工品质	糙米率高、出米率高	糙米率、精米率
营养品质	蛋白质含量高、营养丰富	蛋白质
特殊营养成分	赖氨酸含量高、改善蛋白品质	赖氨酸
能量特性	总淀粉含量高、能量足	总淀粉
淀粉结构特征	直链淀粉比例影响蒸煮性	直链淀粉
淀粉结构特征	支链淀粉高则粘性增强	支链淀粉
糊化特性	糊化温度低或高影响熟化速度	糊化温度
米质软硬表现	胶稠度高则米饭柔软	胶稠度
产量构成因素	单穗所结籽粒数量	穗粒数
籽粒大小指标	千粒重反映籽粒饱满度	千粒重
抗病性	对苗瘟的抗性强弱	苗瘟
抗病性	对白叶枯病的抗性水平	白叶枯
抗虫性	对褐飞虱的抗性表现	褐稻虱
抗虫性	对白背飞虱的危害抗性	白背飞虱
耐逆性	芽期耐受低温冷害能力	芽期耐寒
耐逆性	苗期抗旱、节水稳产能力	苗期耐旱
耐逆性	耐盐碱、盐胁迫下生长稳定	耐盐
区域适应性	适宜某省或地区种植	省、原产地
资源来源信息	种子来源地或引进单位	种子来源、保存单位
